player	player_id	position	team_name	player_game_count	avg_depth_of_target	avoided_tackles	caught_percent	contested_catch_rate	contested_receptions	contested_targets	declined_penalties	drop_rate	drops	first_downs	franchise_id	fumbles	grades_hands_drop	grades_hands_fumble	grades_offense	grades_pass_block	grades_pass_route	inline_rate	inline_snaps	interceptions	longest	pass_block_rate	pass_blocks	pass_plays	penalties	receptions	route_rate	routes	slot_rate	slot_snaps	targeted_qb_rating	targets	touchdowns	wide_rate	wide_snaps	yards	yards_after_catch	yards_after_catch_per_reception	yards_per_reception	yprr
Xavier Hutchinson	122518	WR	IOWA STATE	12	9.2	15	66.5	45.2	14	31	0	5.3	6	62	193	1	81.3	78.5	89.7		89.4	0.4	2	3	38	0	0	451	0	107	95.3	430	29.3	132	92.4	161	6	70.1	316	1171	447	4.2	10.9	2.72
Rashee Rice	97605	WR	SMU	12	11.2	19	61.5	48.5	16	33	1	8.6	9	56	287	3	64.9	27.9	85.9		85.6	0.2	1	4	75	0	0	469	1	96	93.8	440	17.3	81	99.9	156	10	82.5	387	1344	593	6.2	14	3.05
Charlie Jones	55038	WR	PURDUE	13	11.1	6	71.4	52.4	22	42	1	2.7	3	63	273	1	91	74.3	81.6	61	83.8	0	0	2	60	0.2	1	536	3	110	94.2	505	11.6	62	119	154	12	88.4	474	1361	431	3.9	12.4	2.7
Nathaniel Dell	78874	WR	HOUSTON	13	11.6	19	71.1	53.8	7	13	0	7.7	9	71	182	3	72.9	44.5	83.5		84.4	0	0	2	63	0	0	579	2	108	95.2	551	67	388	131.4	152	17	32.8	190	1399	530	4.9	13	2.54
Malachi Corley	66272	WR	W KENTUCKY	14	6.1	40	73.7	33.3	6	18	0	2.9	3	56	346	0	90.5	79.8	84.1	63.1	84.3	0	0	2	76	0.2	1	507	2	101	94.9	481	90.7	460	123.2	137	11	7.7	39	1282	975	9.7	12.7	2.67
Zakhari Franklin	97620	WR	UTSA	14	8.9	20	71	50	16	32	0	7	7	62	331	0	74.1	76.7	75.7		77.7	0.2	1	2	43	0	0	575	3	93	95.3	548	16.9	97	128.9	131	15	83	477	1128	524	5.6	12.1	2.06
Isaiah Winstead	91115	WR	E CAROLINA	13	10.7	15	67.7	48.7	19	39	0	3.3	3	53	156	2	87.6	38.7	75.6		77.1	0	0	1	67	0	0	537	5	88	94	505	7.3	39	105.4	130	6	92.7	498	1085	329	3.7	12.3	2.15
A.T. Perry	77975	WR	WAKE	13	14.7	5	62.8	44	11	25	0	9	8	54	339	0	66.7	76	83.4		83.5	0	0	5	68	0	0	452	1	81	94.7	428	8.8	40	102.2	129	11	91.2	412	1100	164	2	13.6	2.57
Jayshon Jackson	78041	WR	BALL ST	12	8.5	13	58.9	30	9	30	0	6.2	5	44	117	0	76.7	85.6	72.4	54.4	71.8	0	0	3	43	0.2	1	478	0	76	94.1	450	49.4	236	75.7	129	3	50.6	242	820	462	6.1	10.8	1.82
Khaleb Hood	97159	WR	GA SOUTHRN	13	7.6	11	69.3	38.1	8	21	0	5.4	5	43	174	2	79.7	47.5	65.5	62.1	66.4	0.2	1	2	46	0.2	1	520	2	88	95.6	497	93.1	484	91.4	127	3	6.3	33	921	527	6	10.5	1.85
Zay Flowers	97268	WR	BOSTON COL	12	10.4	15	62.9	58.3	7	12	0	10.3	9	49	121	2	61.1	56	75.5		76.1	0	0	5	69	0	0	506	1	78	95.8	485	32.8	166	106.1	124	12	66.6	337	1077	503	6.4	13.8	2.22
Tyrin Smith	145487	WR	UTEP	12	13.3	14	58.2	16.7	2	12	0	11.3	9	45	330	1	50	55.6	72.8		73.5	0	0	3	74	0	0	424	2	71	94.8	402	77.6	329	95.2	122	7	22.4	95	1047	306	4.3	14.7	2.6
Jacob Cowing	100894	WR	ARIZONA	12	8.4	16	69.7	50	5	10	0	7.6	7	50	109	1	71.6	46.7	79		80	0	0	4	39	0	0	502	1	85	95.2	478	70.7	355	100.9	122	7	28.9	145	1034	638	7.5	12.2	2.16
Marvin Harrison Jr.	145056	WR	OHIO STATE	13	14.3	9	65.3	60	18	30	0	3.8	3	61	260	1	85.1	55.7	90.2		89.9	0	0	1	58	0	0	422	1	77	94.1	397	13.7	58	137.1	118	14	86.3	364	1263	323	4.2	16.4	3.18
Jalen McMillan	131905	WR	WASHINGTON	13	13.1	16	66.9	33.3	5	15	0	8.1	7	54	340	0	70.4	81	77.5		77.5	1	5	3	84	0	0	496	2	79	95.4	473	92.5	459	111.5	118	9	5.6	28	1098	430	5.4	13.9	2.32
Josh Downs	122832	WR	N CAROLINA	11	8.8	7	81	72.2	13	18	1	3.1	3	54	245	1	88.7	68.4	82.8		86.5	0.2	1	0	43	0	0	492	4	94	96.3	474	82.7	407	135.2	116	11	14.2	70	1029	375	4	10.9	2.17
Will Sheppard	124360	WR	VANDERBILT	12	13.5	13	51.7	27	10	37	1	4.8	3	41	333	2	80.4	45.8	75.2		76.3	0.3	1	6	31	0	0	388	3	60	93.6	363	19.6	76	77.1	116	9	80.2	311	768	274	4.6	12.8	2.12
Brian Cobbs	84285	WR	UTAH ST	13	12.8	9	65.5	65.2	15	23	0	6.2	5	43	329	0	76.7	75.8	72.5	67.8	73.5	0	0	7	44	0.6	3	480	1	76	90	432	5.4	26	79.1	116	5	94.2	452	923	211	2.8	12.1	2.14
Corey Crooms	97276	WR	W MICHIGAN	12	13	9	49.6	24	6	25	0	5	3	36	347	0	79.4	75	75.1		75.8	0	0	6	75	0	0	425	1	57	93.4	397	77.4	329	65.8	115	5	22.4	95	818	291	5.1	14.4	2.06
Jason Brownlee	121451	WR	SO MISS	13	15	9	47.8	45.5	15	33	0	6.8	4	40	296	1	69.1	48.7	77.3		77	0	0	8	76	0	0	414	4	55	91.3	378	8.7	36	68.4	115	8	91.3	378	891	257	4.7	16.2	2.36
Xavier Worthy	144718	WR	TEXAS	13	17.6	4	52.2	38.5	5	13	0	10.6	7	36	311	1	60.3	68	69.8	60.9	70.1	0	0	3	46	0.2	1	416	1	59	95.2	396	22.1	92	86	113	8	77.4	322	757	324	5.5	12.8	1.91
Jalen Moreno-Cropper	97273	WR	FRESNO ST	14	10.2	19	73.5	25	3	12	0	6.7	6	48	169	0	70.5	77.2	74.7		75	0.2	1	3	75	0	0	478	1	83	95.2	455	17.2	82	107.1	113	5	82.6	395	1089	528	6.4	13.1	2.39
Demario Douglas	104155	WR	LIBERTY	13	12.3	20	67.9	46.7	7	15	0	5	4	46	206	0	76.7	72.6	83.5		85	0	0	7	51	0	0	414	0	76	93.5	387	84.5	350	87.5	112	6	13	54	996	469	6.2	13.1	2.57
Joshua Cephus	98095	WR	UTSA	13	8.2	18	76.8	52.9	9	17	0	2.3	2	47	331	1	90.7	67.7	74.3	54.4	77.4	1	5	1	65	0	0	517	3	86	94.6	489	87.8	454	116.4	112	6	10.3	53	973	506	5.9	11.3	1.99
Jose Barbon	78032	WR	TEMPLE	12	11.2	16	63.1	55.6	15	27	0	6.7	5	41	306	0	74.3	77.4	71.6		71.7	0	0	3	78	0	0	476	1	70	96.4	459	22.1	105	82.9	111	2	77.9	371	892	350	5	12.7	1.94
Justin Marshall	61394	WR	BUFFALO	13	14.5	3	58.2	46.2	18	39	1	5.9	4	39	126	0	76.2	75	72.4		74.7	0	0	2	69	0	0	455	4	64	96.3	438	5.7	26	102	110	9	94.3	429	837	161	2.5	13.1	1.91
Trey Palmer	99248	WR	NEBRASKA	12	13.5	13	64.5	30.4	7	23	0	12.3	10	40	238	1	53.9	64.4	83.6		83.6	0.3	1	5	87	0	0	336	3	71	95.2	320	67.3	226	103.7	110	9	32.1	108	1043	385	5.4	14.7	3.26
Rome Odunze	73774	WR	WASHINGTON	12	13.8	10	68.2	25	4	16	0	5.1	4	53	340	0	80.3	76.6	78.9		79	0	0	1	61	0	0	486	1	75	94	457	15.8	77	119.7	110	7	84	408	1145	343	4.6	15.3	2.51
Shocky Jacques-Louis	77960	WR	AKRON	12	12.3	7	67.3	44.4	12	27	0	3.9	3	45	102	1	79.9	60.4	72	70.3	73.5	0	0	4	41	0.4	2	544	5	74	95	517	12.9	70	83.8	110	2	86.9	473	917	223	3	12.4	1.77
Keylon Stokes	65080	WR	TULSA	12	12.1	17	69.1	62.5	15	24	0	8.4	7	48	320	1	67.9	70.4	79.9		80.9	0	0	4	76	0	0	461	1	76	94.1	434	97.2	448	115.1	110	8	2.6	12	1224	416	5.5	16.1	2.82
