player	player_id	position	team_name	player_game_count	avg_depth_of_target	avoided_tackles	caught_percent	contested_catch_rate	contested_receptions	contested_targets	declined_penalties	drop_rate	drops	first_downs	franchise_id	fumbles	grades_hands_drop	grades_hands_fumble	grades_offense	grades_pass_block	grades_pass_route	inline_rate	inline_snaps	interceptions	longest	pass_block_rate	pass_blocks	pass_plays	penalties	receptions	route_rate	routes	slot_rate	slot_snaps	targeted_qb_rating	targets	touchdowns	wide_rate	wide_snaps	yards	yards_after_catch	yards_after_catch_per_reception	yards_per_reception	yprr
Tyrese Baptiste	148390	WR	MAINE	9	7.8	1	50	50	1	2	0	0	0	4	212	0	77.5	67.4	55.2	63.6	56.1	0	0	0	29	0.8	1	121	2	6	96.7	117	47.1	57	77.8	12	0	52.9	64	98	45	7.5	16.3	0.84
Ludovick Choquette	141913	HB	W ILLINOIS	9	-0.5	3	83.3		0	0	0	16.7	2	2	345	0	47.4	64.3	60.3	38.3	55.2	0	0	0	31	31.3	47	150	0	10	66.7	100	13.3	20	86.5	12	0	1.3	2	57	65	6.5	5.7	0.57
A.J. Davis	57381	HB	FL A&M	8	3.7	1	75	100	1	1	0	10	1	5	164	0	62.9	84.2	69.1	28.3	68.9	0	0	1	23	22.4	28	125	0	9	75.2	94	4.8	6	103.1	12	2	0.8	1	97	64	7.1	10.8	1.03
Erin Collins	57342	HB	W ILLINOIS	11	-1.9	2	58.3	0	0	2	0	0	0	0	345	0	78.5	72.2	61.5	76.6	50.1	0	0	0	8	32.9	56	170	0	7	63.5	108	12.4	21	63.2	12	0	1.2	2	10	43	6.1	1.4	0.09
Jake Vickers	143272	TE	VALPO	11	15	0	58.3	0	0	2	0	12.5	1	4	332	1	58.9	18	57.7	60	46.7	80.5	157	0	41	30.8	60	195	1	7	64.6	126	15.9	31	114.9	12	1	3.1	6	105	35	5	15	0.83
LaDarius Owens	105591	HB	TEXAS STHN	11	1.6	3	75		0	0	0	18.2	2	2	313	0	44.3	77.4	76	53.8	50.7	0	0	0	45	24.5	39	159	1	9	74.2	118	7.5	12	92.4	12	0	0	0	80	61	6.8	8.9	0.68
Marquis Gillis	151714	HB	DELWARE ST	10	-3.2	1	91.7		0	0	1	0	0	5	152	1	81.5	61	69.5	22	62.7	0	0	0	21	10.9	12	110	3	11	86.4	95	1.8	2	92.7	12	0	0	0	75	116	10.5	6.8	0.79
Jacorey Howard	105594	HB	TEXAS STHN	10	0.5	4	83.3	100	2	2	0	0	0	4	313	0	80.9	73.8	68.3	61	71	0	0	0	33	15.6	21	135	0	10	77.8	105	14.8	20	137.8	12	3	0.7	1	91	100	10	9.1	0.87
Raiden Hunter	105578	HB	IDAHO ST	7	1.8	2	83.3	100	1	1	0	16.7	2	4	186	0	47.4	57.7	71.1	35.5	50.5	0	0	0	26	17.7	25	141	0	10	79.4	112	7.1	10	93.1	12	0	5	7	76	52	5.2	7.6	0.68
Zoe Roberts	138182	WR	TENN MARTN	9	10.1	0	54.5		0	0	0	14.3	1	2	310	0	53.4	69	57.8		59	0	0	1	17	0	0	50	0	6	88	44	16	8	29.4	11	0	84	42	52	24	4	8.7	1.18
Keshawn Brown	148572	WR	DUQUESNE	6	8.2	1	45.5	25	1	4	0	0	0	4	155	0	76.3	69.3	62.2		61	0	0	0	16	0	0	45	0	5	97.8	44	95.6	43	55.9	11	0	4.4	2	42	19	3.8	8.4	0.95
Tom Comella	165044	HB	STHLSK	7	1	2	72.7	0	0	1	0	0	0	2	1470	0	79.3	84.7	83.1	73.9	66.8	0	0	1	46	17.7	17	96	0	8	79.2	76	2.1	2	79.7	11	1	0	0	65	80	10	8.1	0.86
Spencer Long	160049	HB	TXAMCO	9	-0.4	3	90.9		0	0	0	9.1	1	4	1139	0	62.9	41.1	53.9	45.6	60.4	0	0	0	25	26.1	29	111	0	10	70.3	78	3.6	4	102.3	11	0	0	0	94	94	9.4	9.4	1.21
Lukkas Londono	148463	WR	TOWSON	10	4.6	1	63.6	0	0	2	0	0	0	2	317	0	78.5	70.6	63.2		57.9	0	0	0	13	0	0	58	0	7	89.7	52	13.8	8	71.4	11	0	86.2	50	43	22	3.1	6.1	0.83
Michael Axelrood	109625	WR	PRINCETON	8	9.8	2	81.8		0	0	0	0	0	6	272	0	80.9	67.9	62.3		64.3	1.2	1	0	42	0	0	82	1	9	96.3	79	15.9	13	138.3	11	1	81.7	67	109	39	4.3	12.1	1.38
Jacob Ritchie	150036	TE	WOFFORD	10	8.6	0	63.6	0	0	1	0	0	0	3	350	0	78.5	66.7	50.2	39.9	54.5	79	98	0	24	16.1	20	124	0	7	79	98	16.9	21	83.5	11	0	2.4	3	75	45	6.4	10.7	0.77
NyGhee Lolley	151718	WR	DELWARE ST	8	9.7	1	45.5	50	1	2	0	0	0	3	152	0	76.3	67	51.3		54	0	0	0	29	0	0	107	2	5	96.3	103	8.4	9	94.9	11	1	91.6	98	65	36	7.2	13	0.63
Dalton Meyer	139554	TE	SM HOUSTON	5	3.5	0	72.7	0	0	1	0	0	0	3	281	0	80.1	67.5	47.8	62.3	49.3	57.1	97	0	17	9.4	16	170	0	8	84.1	143	39.4	67	86.6	11	0	1.8	3	63	36	4.5	7.9	0.44
Charlie Kreinbucher	159727	TE	BUCKNELL	11	8.4	1	81.8	0	0	2	0	10	1	8	125	0	61.4	67.5	55.5	60.4	60.9	66.1	109	0	34	19.4	32	165	1	9	75.8	125	32.1	53	118.8	11	0	0.6	1	138	58	6.4	15.3	1.1
Dillon Golden	161834	TE	BROWN	10	1.1	0	72.7		0	0	0	20	2	4	123	0	41.2	67.1	50.2	61.5	43.9	69.1	94	0	10	24.3	33	136	2	8	72.8	99	20.6	28	81.3	11	0	0.7	1	49	39	4.9	6.1	0.49
Tavarious Griffin	150829	TE	ALCORN ST	10	12.4	2	63.6	0	0	1	0	12.5	1	7	107	0	56.4	66.7	63.1	56.6	67.1	35.2	51	0	27	30.3	44	145	4	7	67.6	98	30.3	44	125.6	11	1	0.7	1	106	45	6.4	15.1	1.08
Caleb Johnson	90461	HB	MS VLY ST	9	-0.4	5	63.6		0	0	0	12.5	1	3	228	0	56.4	90.1	64.6	23.1	55.6	0	0	0	44	19.9	34	171	0	7	77.8	133	1.8	3	117.6	11	1	0.6	1	85	103	14.7	12.1	0.64
Anthony Purge	108845	HB	ROB MORRIS	10	-1.4	0	45.5	0	0	1	0	16.7	1	2	277	0	49.8	83.3	56.4	77.6	53.8	0	0	2	41	22	29	132	0	5	72.7	96	2.3	3	31.8	11	0	0.8	1	83	92	18.4	16.6	0.86
Jadd Dolegala	79358	TE	CENT CT ST	11	11.1	0	45.5		0	0	1	16.7	1	3	133	0	49.8	65.7	45.5	74.3	39.3	84	200	0	26	18.9	45	238	2	5	77.3	184	10.1	24	89.2	11	1	0.8	2	50	30	6	10	0.27
Wesley Graves	150549	HB	NC A&T	11	-0.4	2	90.9	0	0	1	0	0	0	4	246	0	80.9	84.6	74.4	58	81.7	0	0	0	21	20.4	20	98	2	10	77.6	76	6.1	6	131.8	11	1	0	0	92	100	10	9.2	1.21
JJ Davis	53540	HB	NORFOLK	7	-1.9	4	90.9		0	0	0	0	0	2	244	0	80.9	83.8	58.1	34.1	66.2	0	0	0	30	21.7	23	106	0	10	75.5	80	2.8	3	121.6	11	1	0.9	1	65	83	8.3	6.5	0.81
Jayvian Allen	149203	HB	TENN TECH	11	2.5	0	72.7	0	0	1	0	0	0	5	309	0	79.3	85.4	70.4	82.5	62.1	0	0	0	18	15.7	14	89	0	8	80.9	72	6.7	6	126.5	11	2	6.7	6	64	58	7.3	8	0.89
Zaythan Hill	109123	HB	LEHIGH	8	2.4	3	72.7	0	0	1	0	11.1	1	2	205	0	63.3	83.9	68.7	57.5	64.9	0	0	0	77	19.8	19	96	0	8	76	73	6.3	6	137.3	11	1	1	1	117	100	12.5	14.6	1.6
Dylan Ingram	60886	TE	E WASHGTON	11	5.5	2	100		0	0	0	0	0	5	161	0	81.5	68.2	52.8	35.2	58.2	65.4	87	0	27	20.3	27	133	1	11	75.2	100	26.3	35	109.8	11	0	2.3	3	114	54	4.9	10.4	1.14
Jake Coleman	149504	WR	DAYTON	8	14.3	0	45.5	0	0	2	0	0	0	3	150	1	76.3	13.7	52.8	60.9	54.3	0	0	2	14	1.2	1	85	2	5	96.5	82	24.7	21	17.4	11	0	75.3	64	45	11	2.2	9	0.55
Dontae McMillan	103994	HB	WEBER ST	13	-0.1	1	81.8		0	0	0	10	1	2	342	0	61	66.6	80.4	17.7	53.7	0	0	0	10	19.5	31	159	0	9	76.7	122	4.4	7	81.1	11	0	1.9	3	38	43	4.8	4.2	0.31
Kolbe Burrell	130401	HB	NWSTATE	8	0.5	0	63.6	0	0	1	0	22.2	2	2	257	0	38	59.8	61.2	47.8	46.8	0	0	0	15	22.6	26	115	0	7	74.8	86	4.3	5	67.6	11	0	0	0	24	22	3.1	3.4	0.28
JaQuan DuFour	153953	WR	CENT CT ST	6	12.4	0	36.4	0	0	1	0	0	0	1	133	0	74.9	66.9	55.3		56	0	0	2	24	0	0	64	1	4	95.3	61	6.3	4	6.1	11	0	93.8	60	35	11	2.8	8.8	0.57
Davion Cherwin	149554	HB	DRAKE	11	-0.2	1	36.4		0	0	0	20	1	2	153	0	45.4	64.4	63.2	26.2	50.8	1	1	0	14	19.8	19	96	0	4	80.2	77	1	1	44.9	11	0	2.1	2	20	25	6.3	5	0.26
Troy Fletcher	158925	HB	CAL POLY	3	1.1	0	63.6	100	1	1	0	12.5	1	2	129	0	56.4	80.3	60.9	23.1	60.9	0	0	0	32	9.7	7	72	1	7	86.1	62	13.9	10	77.1	11	0	18.1	13	58	63	9	8.3	0.94
Jaylen McCloud	63279	HB	FL A&M	11	2	1	54.5		0	0	0	25	2	2	164	0	33.8	87.7	65.1	59.9	44.6	0	0	0	15	17.4	25	144	0	6	77.8	112	4.2	6	63.1	11	0	0.7	1	41	39	6.5	6.8	0.37
Zach Hrbacek	150270	HB	SM HOUSTON	9	-2.1	2	63.6		0	0	0	22.2	2	1	281	0	38.4	58.2	63.5	17.7	45.4	0	0	0	11	13.9	21	151	0	7	81.5	123	2.6	4	68	11	0	1.3	2	34	51	7.3	4.9	0.28
Rashad Raymond	139121	HB	VA MILT IN	11	-2.7	2	90.9		0	0	1	0	0	2	336	0	80.9	82.2	70.6	73.9	66.6	0	0	0	22	39.4	43	109	2	10	60.6	66	10.1	11	93.9	11	0	2.8	3	72	106	10.6	7.2	1.09
Darrion Sherfield	121702	WR	HOUCHR	6	10.8	1	63.6	100	1	1	0	22.2	2	3	183	0	37.6	66.7	59.5		60.3	0	0	0	38	0	0	66	0	7	93.9	62	10.6	7	86.2	11	0	89.4	59	82	39	5.6	11.7	1.32
Parker Woodring	159274	WR	CORNELL	7	12.4	0	54.5	0	0	2	0	25	2	5	147	0	23.1	66.2	52.4	61.1	51.3	0	0	0	26	0.8	1	128	1	6	93.8	120	29.7	38	77.1	11	0	70.3	90	78	22	3.7	13	0.65
Tyce Ferrell	148074	TE	INDIANA ST	10	3.9	0	72.7	0	0	1	0	20	2	4	191	0	41.2	67.1	54.3	66.9	44.6	86.3	189	0	19	34.7	76	219	0	8	62.6	137	5	11	113.1	11	1	1.4	3	53	38	4.8	6.6	0.39
Dan Byrnes	104935	WR	FORDHAM	6	16	1	63.6	66.7	2	3	0	0	0	4	168	0	78.5	67.4	62.7		62.8	0	0	0	33	0	0	63	1	7	95.2	60	3.2	2	119.1	11	1	96.8	61	89	13	1.9	12.7	1.48
Dejuan Miller	84125	WR	TARLETON	4	7.4	1	63.6	50	1	2	0	12.5	1	5	401	0	56.4	66.7	66.7		66.5	0	0	0	13	0	0	47	0	7	97.9	46	0	0	108.1	11	1	100	47	60	18	2.6	8.6	1.3
Evan Clark	165039	WR	STHLSK	4	13.5	0	45.5	0	0	2	0	16.7	1	5	1470	0	56.4	67.8	63.9		62.9	0	0	0	41	0	0	75	0	5	97.3	73	17.3	13	74.1	11	0	82.7	62	90	9	1.8	18	1.23
Eli Green	148152	WR	N DAK ST	12	16.5	1	54.5	0	0	3	0	0	0	5	250	1	77.5	19.8	64		62.6	0	0	1	44	0	0	66	1	6	95.5	63	69.7	46	74.8	11	1	28.8	19	92	27	4.5	15.3	1.46
Trevonte Davis	160225	WR	FL A&M	4	11.5	1	36.4	0	0	2	0	20	1	3	164	0	45.4	65	62.5		60.7	0	0	0	22	0	0	49	0	4	95.9	47	10.2	5	85.8	11	1	89.8	44	61	29	7.3	15.3	1.3
Max Zimmerman	112104	TE	STTHOM	11	12.7	0	63.6		0	0	0	0	0	4	1129	0	78.5	66.7	51.2	56.1	45.8	97.7	210	0	23	21.4	46	215	3	7	71.6	154	0.5	1	118	11	1	0.5	1	86	29	4.1	12.3	0.56
Blake Gobel	102491	TE	E WASHGTON	11	9.7	1	81.8	100	1	1	0	10	1	7	161	0	63.3	67.9	51.7	69.2	53.8	74.9	131	0	23	17.1	30	175	4	9	80	140	21.1	37	151.3	11	2	2.3	4	119	33	3.7	13.2	0.85
Christion Carter	102499	TE	HOWARD	9	8.5	2	80	50	1	2	1	0	0	5	184	1	79.3	17.6	48.8	60.6	55.7	64.1	91	0	28	12	17	142	4	8	81.7	116	33.8	48	147.1	10	2	1.4	2	98	48	6	12.3	0.84
Connor Deveney	142345	TE	RICHMOND	7	3.7	1	100		0	0	0	0	0	4	276	0	81.5	68.2	61	65	69.6	54.8	40	0	23	12.3	9	73	0	10	84.9	62	45.2	33	136.7	10	3	0	0	73	36	3.6	7.3	1.18
DeMareus Hosey	102440	HB	TXAMCO	10	-0.9	2	70	0	0	1	0	12.5	1	4	1139	0	56.4	80.4	61.1	34.7	63.8	0	0	0	28	23.5	20	85	1	7	76.5	65	0	0	89.6	10	0	0	0	70	83	11.9	10	1.08
Louis Spezio	159522	WR	WAGNER	7	8.7	0	50	0	0	1	0	0	0	2	338	0	77.5	66.2	56.6		57.1	0	0	1	12	0	0	105	0	5	93.3	98	2.9	3	20	10	0	97.1	102	38	7	1.4	7.6	0.39
Donovan Eaglin	129612	HB	ALAB A&M	11	-2.6	3	70	0	0	1	1	12.5	1	5	104	0	56.4	62.7	74.4	22.7	56.3	0	0	0	20	21.1	40	190	3	7	76.3	145	4.2	8	120	10	1	3.7	7	63	76	10.9	9	0.43
Jordan Bingham	109514	WR	VALPO	6	15.3	0	40	33.3	1	3	0	20	1	3	332	0	45.4	65	55.8		58.2	0	0	0	23	0	0	66	0	4	92.4	61	89.4	59	56.3	10	0	10.6	7	50	16	4	12.5	0.82
Joshua Szott	84106	WR	COLGATE	9	9.7	0	50		0	0	0	16.7	1	3	142	0	49.8	68.1	56.3		55.8	0	0	0	24	0	0	95	0	5	96.8	92	4.2	4	66.3	10	0	95.8	91	54	6	1.2	10.8	0.59
Jakari Williams	165445	TE	SCAR STATE	9	7	0	60	100	1	1	0	0	0	3	290	0	78.5	66.7	63.7	53.8	67.2	62.9	44	1	20	30	21	70	0	6	65.7	46	30	21	31.3	10	0	2.9	2	45	27	4.5	7.5	0.98
Ian Wheeler	102419	HB	HOWARD	11	0.5	3	90	0	0	1	0	10	1	5	184	0	61	69.1	75.4	33.3	59.4	0	0	0	22	18.8	21	112	0	9	78.6	88	2.7	3	135.8	10	1	0.9	1	86	79	8.8	9.6	0.98
Terrell Jennings	102408	HB	FL A&M	9	1.2	0	60		0	0	0	0	0	1	164	0	77.5	67.8	76.4	42.3	54.9	0.6	1	0	18	18.8	29	154	1	6	78.6	121	4.5	7	70.4	10	0	0	0	44	47	7.8	7.3	0.36
Nicholas Saccu	165111	WR	STHLSK	5	8.5	0	70	50	1	2	0	0	0	3	1470	0	78.5	67.8	58.6		57.1	0	0	1	17	0	0	46	0	7	93.5	43	63	29	72.9	10	1	37	17	45	24	3.4	6.4	1.05
VJ Johnson	139109	WR	VA MILT IN	10	8.4	0	60	100	1	1	0	0	0	0	336	0	77.5	66.2	53.8		53.3	0	0	1	8	0	0	63	0	6	95.2	60	92.1	58	27.5	10	0	7.9	5	36	19	3.2	6	0.6
Andrew May	129560	TE	MERCER	11	2.9	0	50	0	0	2	0	37.5	3	2	219	0	20.2	65.7	44.6	50.9	36.9	82.7	115	0	16	26.6	37	139	2	5	71.2	99	5	7	56.3	10	0	3.6	5	27	18	3.6	5.4	0.27
Devon Brewer	91741	HB	STETSON	8	-1.4	4	90		0	0	0	10	1	4	302	0	61	80.7	70.3	64.1	64.9	0	0	0	18	28.8	30	104	0	9	67.3	70	6.7	7	95.4	10	0	0	0	69	86	9.6	7.7	0.99
Nick Kupfer	148137	WR	N DAKOTA	10	8.7	0	70	0	0	1	0	0	0	3	249	0	78.5	66.7	58.4		58.1	0	0	0	19	0	0	87	0	7	94.3	82	24.1	21	92.5	10	0	75.9	66	77	17	2.4	11	0.94
Tavian Morris	150417	WR	NORFOLK	10	7.9	0	40	0	0	1	0	0	0	1	244	0	74.9	65	51.3		53	0	0	1	20	0	0	79	2	4	98.7	78	21.5	17	8.3	10	0	78.5	62	25	24	6	6.3	0.32
Jacob Bell	88735	WR	MURRAY ST	2	28.2	0	30	100	1	1	0	0	0	3	236	0	73.1	66	64.3		66.7	0	0	0	54	0	0	44	1	3	95.5	42	15.9	7	98.3	10	1	79.5	35	91	12	4	30.3	2.17
Severyn Foster	136827	WR	MCNEESE	8	16	0	50	0	0	1	0	0	0	4	217	0	76.3	66.6	57.9		56.5	0	0	2	15	0	0	78	0	5	96.2	75	5.1	4	27.5	10	0	94.9	74	56	21	4.2	11.2	0.75
Zach Gibson	134759	WR	S ILLINOIS	7	9.1	0	40	0	0	3	1	20	1	1	295	0	49.8	65.7	46.3		46.5	0	0	1	8	0	0	125	1	4	93.6	117	10.4	13	8.3	10	0	89.6	112	22	12	3	5.5	0.19
Abraham Haerr	154210	TE	LNDNWD	9	5.5	0	70	0	0	1	0	12.5	1	2	949	1	56.4	16.5	46.6	53.1	41.7	95.9	70	0	20	24.7	18	73	0	7	68.5	50	0	0	114.6	10	1	2.7	2	50	18	2.6	7.1	1
Damon Horton	106513	HB	ST FRANCIS	9	2.8	2	50		0	0	0	37.5	3	2	299	0	19.8	85.5	73.9	79.9	40.6	0	0	0	47	7.1	8	113	0	5	87.6	99	4.4	5	74.2	10	0	1.8	2	73	82	16.4	14.6	0.74
Cailin Daniels	150206	WR	UTAHTC	4	16.7	0	30		0	0	0	25	1	3	1285	0	39.5	64.1	54.8		56.8	0	0	2	32	0	0	68	2	3	97.1	66	14.7	10	12.1	10	0	85.3	58	59	1	0.3	19.7	0.89
Roshaun Johnson	57235	HB	IDAHO	11	1.5	0	50		0	0	0	16.7	1	2	185	0	49.8	87.6	69	57.7	51.1	0	0	0	26	18.7	20	107	0	5	78.5	84	2.8	3	96.7	10	1	2.8	3	47	33	6.6	9.4	0.56
Zachary Targoff	108741	WR	BROWN	7	8.3	2	50	0	0	1	0	0	0	3	123	0	76.3	65.7	55.8		57.6	1.5	1	1	20	0	0	68	0	5	98.5	67	66.2	45	29.2	10	0	32.4	22	60	25	5	12	0.9
Koby Duru	91441	WR	MCNEESE	6	15.7	0	20	33.3	1	3	0	33.3	1	1	217	0	31.6	62.9	51		50	0	0	2	19	0	0	95	0	2	97.9	93	6.3	6	0.8	10	0	93.7	89	32	5	2.5	16	0.34
Kevin McGuire	162316	WR	SACR HEART	8	7	1	60	0	0	1	0	0	0	3	280	0	77.5	70	57.4		63.3	0	0	0	17	0	0	46	1	6	89.1	41	93.5	43	67.9	10	0	6.5	3	38	20	3.3	6.3	0.93
Nathan Gaskamp	105656	TE	LAMAR	11	4.7	0	60	0	0	1	1	25	2	3	204	0	33.8	66.2	48.6	61.2	51.6	94.5	86	0	16	45.1	41	91	5	6	52.7	48	3.3	3	97.9	10	1	0	0	29	16	2.7	4.8	0.6
Todd Sibley Jr.	57382	HB	ALBANY	10	0	0	90		0	0	0	10	1	3	106	0	62.9	90.3	80.3	73.1	52	0	0	0	45	35.3	115	326	0	9	60.7	198	0.6	2	132.5	10	1	1.8	6	78	80	8.9	8.7	0.39
Ontario Douglas	143561	HB	TARLETON	10	0.1	5	90		0	0	0	0	0	3	401	0	80.1	86.3	73.4	79.4	74.6	0	0	0	26	39.3	33	84	1	9	56	47	0	0	98.8	10	0	0	0	77	74	8.2	8.6	1.64
Jonathon Thomas	62827	WR	BETH COOK	6	8.4	1	80		0	0	1	11.1	1	4	119	1	59.3	21.3	64.7		66	0	0	0	23	0	0	51	1	8	94.1	48	27.5	14	101.3	10	0	72.5	37	83	17	2.1	10.4	1.73
Jarrett Powell	62860	TE	HAMPTON	11	9.5	0	70		0	0	1	22.2	2	4	178	0	37.6	66.7	43.8	44.5	48.2	66.4	77	1	27	29.3	34	116	3	7	66.4	77	31	36	88.8	10	1	0.9	1	83	34	4.9	11.9	1.08
Ce'Cori Tolds	78989	WR	INCAR WORD	5	19.9	0	30	0	0	2	0	0	0	1	189	0	73.1	72.2	60.5		62.7	0	0	1	60	0	0	32	2	3	93.8	30	3.1	1	20.4	10	0	96.9	31	79	14	4.7	26.3	2.63
Khalan Griffin	129847	HB	LAMAR	11	3.7	0	50		0	0	0	28.6	2	1	204	0	50.3	75.1	76.1	79.4	49.9	0	0	0	11	22.1	23	104	1	5	76.9	80	1.9	2	56.3	10	0	1	1	27	19	3.8	5.4	0.34
Jalen Hampton	123351	HB	ELON	11	2.2	0	70		0	0	1	12.5	1	2	162	0	56.4	63.5	65.7	31.3	49.8	0	0	0	10	19.8	42	212	1	7	77.4	164	0	0	73.8	10	0	6.1	13	32	17	2.4	4.6	0.2
Tyrece Fairly-Diyem	158926	WR	CAL POLY	3	13	1	50	33.3	1	3	0	16.7	1	2	129	1	49.8	13.7	63.1		62.7	0	0	1	41	0	0	26	0	5	92.3	24	96.2	25	79.6	10	1	3.8	1	101	45	9	20.2	4.21
Jake Benio	87658	TE	YNGTOWN ST	9	1.8	3	80	0	0	1	0	0	0	4	353	0	79.3	67.1	74.3	70.2	60.2	80.7	96	0	16	15.1	18	119	0	8	80.7	96	9.2	11	98.3	10	0	1.7	2	76	64	8	9.5	0.79
Michael Morgan	79400	TE	S DAK ST	14	5.9	0	77.8	50	1	2	0	0	0	3	292	0	78.5	68.4	64.1	68.8	54.2	60.3	70	0	44	15.5	18	116	0	7	81	94	17.2	20	144.2	9	2	6.9	8	82	51	7.3	11.7	0.87
Paul Woods	84391	WR	RHODE ISLD	11	5.7	1	88.9	100	2	2	0	11.1	1	5	274	0	44.3	67.5	59.9	62.3	58.8	0	0	0	45	1.2	1	82	1	8	90.2	74	43.9	36	142.1	9	1	54.9	45	83	56	7	10.4	1.12
Nathan Walker	88466	FB	WOFFORD	10	1.6	0	33.3	0	0	1	0	25	1	0	350	0	40.2	87.6	65.4	57.1	42.4	0	0	0	8	22.8	49	215	1	3	73.5	158	3.3	7	42.4	9	0	0.5	1	14	12	4	4.7	0.09
AC White	84032	TE	BRYANT	9	12.9	1	55.6	100	1	1	0	28.6	2	4	124	0	29.1	65.7	66.5		66.3	87.2	34	0	25	0	0	39	0	5	92.3	36	12.8	5	119	9	2	0	0	67	16	3.2	13.4	1.86
Noah Caldwell	123500	TE	ABILENE CH	8	1.8	2	88.9	0	0	1	0	0	0	3	100	1	79.3	17.6	62.9	37.8	66.6	82.9	58	0	14	34.3	24	70	1	8	65.7	46	17.1	12	131.5	9	1	0	0	60	59	7.4	7.5	1.3
Ja'Won Howell	91418	HB	ALABAMA ST	11	1.8	4	77.8		0	0	0	0	0	3	105	0	78.5	50.9	71.4	64.7	68.7	0	0	0	16	21.6	16	74	0	7	74.3	55	2.7	2	91.7	9	0	0	0	54	53	7.6	7.7	0.98
Hunter Wood	122775	WR	MO STATE	10	11.7	1	55.6	0	0	1	0	0	0	4	230	0	76.3	65.7	62.8		62.9	0	0	0	25	0	0	59	0	5	96.6	57	61	36	115.7	9	2	39	23	60	20	4	12	1.05
Fred Jackson	122338	WR	MERCER	11	4.6	0	77.8		0	0	0	0	0	5	219	0	78.5	76.1	70	48.6	66	0	0	0	36	9.3	7	75	0	7	88	66	46.7	35	108.8	9	0	53.3	40	91	76	10.9	13	1.38
Chris McKay Jr.	122307	HB	CAMPBELL	6	0	1	77.8	0	0	1	0	0	0	1	131	0	78.5	76.4	67.2	64.8	68.4	0	0	0	12	17.1	7	41	0	7	82.9	34	2.4	1	83.3	9	0	0	0	36	42	6	5.1	1.06
Emmanuel Logan-Greene	55409	WR	SE LA	5	9.1	2	77.8		0	0	0	22.2	2	3	294	0	37.6	69.4	68.5		63.5	0	0	0	17	0	0	39	0	7	100	39	38.5	15	96.3	9	0	61.5	24	64	20	2.9	9.1	1.64
Charlie Gilroy	78743	TE	VILLANOVA	11	4.9	0	88.9	0	0	1	0	0	0	3	334	0	80.1	67.5	55.5	66.9	45.4	49	144	0	30	13.6	40	294	1	8	80.6	237	22.8	67	101.9	9	0	28.2	83	76	42	5.3	9.5	0.32
Joey Giorgi	148693	HB	COLUMBIA	10	-3.7	2	88.9		0	0	0	11.1	1	1	145	0	58.9	65.4	72.7	42.3	54.6	0.8	1	0	11	25	31	124	0	8	71	88	7.3	9	79.2	9	0	3.2	4	17	45	5.6	2.1	0.19
Jacory Benson	78604	HB	SCAR STATE	7	1.1	0	66.7		0	0	0	25	2	2	290	0	33.4	83.8	64.3	79.8	45	0	0	0	8	32.7	34	104	0	6	64.4	67	1.9	2	108.6	9	1	0	0	30	21	3.5	5	0.45
Trevor Shorter	148610	WR	WAGNER	10	5.9	1	44.4	33.3	2	6	0	0	0	1	338	0	74.9	65	59.5		57.1	0	0	0	7	0	0	56	0	4	98.2	55	94.6	53	51.6	9	0	5.4	3	25	12	3	6.3	0.45
Stetson Moore	91851	TE	MO STATE	7	11	1	77.8		0	0	0	0	0	5	230	0	78.5	66.7	83.5		89.4	80	36	0	35	0	0	45	0	7	100	45	15.6	7	118.8	9	0	2.2	1	124	58	8.3	17.7	2.76
Jaylen Laudermilk	148591	WR	MERRIMACK	5	5.8	2	55.6		0	0	0	16.7	1	4	385	0	49.8	71	70.9		73.7	0	0	0	20	0	0	26	0	5	96.2	25	84.6	22	73.8	9	0	15.4	4	55	39	7.8	11	2.2
Justin Dinka	101292	HB	INDIANA ST	11	-1.2	1	88.9		0	0	0	0	0	3	191	0	80.1	90.2	73.7	67.7	75.7	0	0	0	30	36	64	178	0	8	60.1	107	1.7	3	146.8	9	1	0	0	93	102	12.8	11.6	0.87
Tyler Purdy	101842	HB	HOLY CROSS	8	6.9	3	88.9	0	0	1	0	0	0	4	181	0	79.3	78.1	67.7	83.2	68.5	0	0	0	36	13.9	14	101	0	8	80.2	81	5	5	158.3	9	2	15.8	16	150	93	11.6	18.8	1.85
Brennan Brown	102284	TE	HOWARD	7	7.6	0	77.8	0	0	1	0	0	0	5	184	0	78.5	69.5	54.9	62	61.8	83.1	108	1	20	16.9	22	130	1	7	80	104	16.9	22	93.1	9	4	0	0	57	7	1	8.1	0.55
Niko Duffey	102389	HB	ALCORN ST	11	1.7	0	55.6		0	0	0	28.6	2	1	107	0	29.1	70	60.9	18.2	42.1	0	0	0	11	25	24	96	0	5	74	71	4.2	4	60.9	9	0	0	0	10	8	1.6	2	0.14
Rayonta Rose	165155	WR	TENN STATE	9	17.3	1	55.6	0	0	3	0	16.7	1	1	308	0	49.8	65.7	51.1		51.3	0	0	0	11	0	0	68	0	5	95.6	65	17.6	12	62.7	9	0	82.4	56	31	7	1.4	6.2	0.48
Maika Heck	141594	TE	IDAHO ST	11	5.9	0	44.4	50	1	2	0	33.3	2	0	186	0	26	65	34.9	33.4	38.6	57.8	48	0	8	7.2	6	83	1	4	91.6	76	41	34	51.6	9	0	1.2	1	20	15	3.8	5	0.26
