player	player_id	position	team_name	player_game_count	batted_passes	declined_penalties	franchise_id	grades_pass_rush_defense	hits	hurries	pass_rush_opp	pass_rush_percent	pass_rush_win_rate	pass_rush_wins	penalties	prp	sacks	snap_counts_pass_play	snap_counts_pass_rush	total_pressures	true_pass_set_batted_passes	true_pass_set_grades_pass_rush_defense	true_pass_set_hits	true_pass_set_hurries	true_pass_set_pass_rush_opp	true_pass_set_pass_rush_percent	true_pass_set_pass_rush_win_rate	true_pass_set_pass_rush_wins	true_pass_set_prp	true_pass_set_sacks	true_pass_set_snap_counts_pass_play	true_pass_set_snap_counts_pass_rush	true_pass_set_total_pressures 
Andre Carter II	102780	ED	ARMY	13	1	0	114	93.4	9	35	285	77.1	26	74	4	13	15	380	293	59	0	91.1	2	14	99	80	36.4	36	14.1	6	130	104	22

D'Anthony Jones	123671	ED	HOUSTON	13	0	1	182	87.9	5	22	169	95.7	21.9	37	3	12.1	7	184	176	34	0	90.4	3	10	65	97.1	29.2	19	16.2	4	68	66	17

Nick Herbig	129920	ED	WISCONSIN	13	0	1	349	91.4	6	26	198	57.6	27.3	54	2	12.6	9	361	208	41	0	90.7	3	16	70	62.2	41.4	29	22.1	6	119	74	25

Brock Martin	56439	ED	OKLA STATE	11	0	0	262	73.8	9	15	175	88.2	19.4	34	2	8.6	3	212	187	27	0	83.9	5	10	70	97.4	34.3	24	15	3	76	74	18

Derek Parish	57854	ED	HOUSTON	8	0	0	182	83.1	7	15	166	95.6	20.5	34	2	9	4	181	173	26	0	91.1	5	11	57	91.9	40.4	23	21.1	4	62	57	20

Derick Hall	98130	ED	AUBURN	11	0	2	115	81.9	6	21	163	82.9	21.5	35	4	10.7	4	210	174	31	0	82.4	2	13	73	95.2	28.8	21	14.4	3	83	79	18

Keion White	60998	ED	DOMINION	12	0	1	263	83.7	13	27	279	94.9	19.4	54	10	9	5	312	296	45	0	90.4	5	15	99	98.2	31.3	31	13.1	3	110	108	23

Karl Brooks	76941	ED	BOWL GREEN	12	0	1	122	81.5	7	23	250	91.9	16.4	41	5	8	5	284	261	35	0	90.3	6	13	84	94.7	29.8	25	16.1	4	94	89	23

